t,S,E,I,R,D,V
317.0,108031.11072818484,28.512396461550967,84.48199924695416,882937.3359273451,8918.558948761058,0.0
317.1,108030.78604282242,28.29089903333417,83.8259881580303,882938.5260992859,8918.570970699853,0.0
317.20000000000005,108030.46387964727,28.071122425018842,83.17506924881921,882939.7070293917,8918.58289928678,0.0
317.3,108030.14421906904,27.85305326758047,82.52920302568401,882940.8787893909,8918.594735246368,0.0
317.40000000000003,108029.8270416463,27.63667829361487,81.88835029435334,882942.0414504677,8918.606479297649,0.0
317.5,108029.51232808658,27.421984337339033,81.25247215992394,882943.1950832616,8918.618132154152,0.0
317.6,108029.20005924624,27.20895833459016,80.62153002685771,882944.339757868,8918.629694523914,0.0
317.70000000000005,108028.8902161306,26.997587322826494,79.99548559898426,882945.4755438376,8918.641167109467,0.0
317.8,108028.58277989388,26.78785844112698,79.3743008794998,882946.6025101772,8918.652550607845,0.0
317.90000000000003,108028.27773183746,26.579758929014414,78.75793816746481,882947.7207253549,8918.663845710651,0.0
318.0,108027.97505340476,26.3732761232066,78.1463600475267,882948.8302573197,8918.675053104236,0.0
318.1,108027.67472619699,26.168397468232545,77.53952942131193,882949.9311734438,8918.686173469127,0.0
318.20000000000005,108027.37673195585,25.965110504527342,76.9374094730795,882951.0235405854,8918.697207480656,0.0
318.3,108027.08105256081,25.763402866518142,76.3399636641103,882952.107425099,8918.708155809078,0.0
318.40000000000003,108026.78767002905,25.56326228262381,75.74715573270612,882953.1828928356,8918.719019119548,0.0
318.5,108026.4965665155,25.364676575255714,75.15894969419199,882954.2500091424,8918.729798072141,0.0
318.6,108026.20772431282,25.16763366081682,74.57530984091346,882955.3088388632,8918.740493321846,0.0
318.70000000000005,108025.92112585137,24.972121549702486,73.99620074223908,882956.3594463376,8918.751105518559,0.0
318.8,108025.63675369932,24.778128346300125,73.42158724455919,882957.4018954022,8918.76163530709,0.0
318.90000000000003,108025.35459056088,24.585642247899877,72.85143446804513,882958.4362493955,8918.772083327221,0.0
319.0,108025.07461927172,24.394651541676946,72.28570779715056,882959.4625711751,8918.782450213885,0.0
319.1,108024.7968228134,24.2051446145149,71.72437290966421,882960.4809230653,8918.792736596615,0.0
319.20000000000005,108024.52118429748,24.017109942004026,71.16739574490552,882961.4913669149,8918.802943100147,0.0
319.3,108024.24768696292,23.83053608667103,70.614742498531,882962.4939641069,8918.81307034451,0.0
319.40000000000003,108023.97631417606,23.645411697978748,70.06637962253335,882963.488775558,8918.823118945025,0.0
319.5,108023.70704943067,23.46172551232686,69.52227382524362,882964.475861719,8918.833089512307,0.0
319.6,108023.43987634787,23.27946635305107,68.98239207132875,882965.455282575,8918.842982652268,0.0
319.70000000000005,108023.17477867623,23.09862313042382,68.44670158179369,882966.427097645,8918.852798966105,0.0
319.8,108022.91174029169,22.919184841653983,67.91516983398053,882967.3913659819,8918.862539050317,0.0
319.90000000000003,108022.65074519611,22.741140569878596,67.38776455856946,882968.3481461783,8918.872203496743,0.0
320.0,108022.39177751291,22.564479481360856,66.86445373079941,882969.2974963818,8918.881792892738,0.0
320.1,108022.13482150044,22.38919083457949,66.34520559735466,882970.2394742465,8918.891307820666,0.0
320.20000000000005,108021.87986153732,22.215263970061297,65.82998864691677,882971.1741369868,8918.900748858447,0.0
320.3,108021.62688211999,22.042688308743806,65.31877160535741,882972.1015413859,8918.91011657965,0.0
320.40000000000003,108021.37586786276,21.871453351975003,64.81152343573743,882973.0217437956,8918.919411553485,0.0
320.5,108021.12680349773,21.70154868151401,64.30821333830893,882973.9348001372,8918.928634344815,0.0
320.6,108020.87967387488,21.5329639595303,63.808810750512954,882974.8407659004,8918.937785514141,0.0
320.70000000000005,108020.63446396202,21.365688928604374,63.31328534698147,882975.7396961444,8918.946865617614,0.0
320.8,108020.3911588448,21.199713411727487,62.82160703953653,882976.6316454965,8918.95587520703,0.0
320.90000000000003,108020.1497437253,21.03502731136841,62.333745974415265,882977.5166681586,8918.964814829878,0.0
321.0,108019.91020391807,20.87162060687251,61.849672524154784,882978.394817921,8918.973685029498,0.0
321.1,108019.67252486252,20.709483362871772,61.369357312473255,882979.2661481171,8918.98248634461,0.0
321.20000000000005,108019.43669210922,20.54860571988768,60.89277118700568,882980.1307116736,8918.991219309828,0.0
321.3,108019.20269131775,20.388977892816868,60.41988521485452,882980.9885611184,8918.999884455734,0.0
321.40000000000003,108018.97050825672,20.23059017093083,59.950670682588914,882981.8397485805,8919.008482308887,0.0
321.5,108018.74012880372,20.073432917876577,59.48509909624651,882982.6843257899,8919.01701339181,0.0
321.6,108018.51153894533,19.917496571675883,59.023142181331366,882983.5223440782,8919.025478223006,0.0
321.70000000000005,108018.28472477713,19.762771644725937,58.56477188281578,882984.353854378,8919.033877316942,0.0
321.8,108018.0596725037,19.60924872379907,58.10996036513954,882985.1789072228,8919.042211184062,0.0
321.90000000000003,108017.83636843733,19.456918469179058,57.65868000964219,882985.9975527526,8919.050480330827,0.0
322.0,108017.61479899436,19.30577161224745,57.210903407061636,882986.8098407261,8919.058685259852,0.0
322.1,108017.39495070654,19.15579896326489,56.7666033805584,882987.6158204797,8919.066826469485,0.0
322.20000000000005,108017.17681020852,19.00699140268545,56.325752960475135,882988.4155409737,8919.074904454272,0.0
322.3,108016.96036423578,18.859339879755996,55.88832538021862,882989.2090507988,8919.082919705032,0.0
322.40000000000003,108016.7455996246,18.71283541251592,55.45429407625899,882989.9963981773,8919.090872708855,0.0
322.5,108016.53250331208,18.567469087797726,55.023632688131514,882990.7776309624,8919.098763949109,0.0
322.6,108016.32106233614,18.423232061226386,54.59631505843458,882991.5527966383,8919.106593905432,0.0
322.70000000000005,108016.11126383554,18.280115557219897,54.17231523283143,882992.3219423202,8919.114363053734,0.0
322.8,108015.90309504983,18.13811086898903,53.751607460049435,882993.0851147545,8919.1220718662,0.0
322.90000000000003,108015.69654331822,17.99720935773804,53.33416618950431,882993.8423603228,8919.129720811334,0.0
323.0,108015.49159607611,17.857402450425315,52.91996606436555,882994.5937250546,8919.13731035408,0.0
323.1,108015.28824086572,17.718681646962846,52.508981942861894,882995.3392545886,8919.144840955432,0.0
323.20000000000005,108015.0864653244,17.581038512187714,52.101188874915756,882996.0789942152,8919.152313072873,0.0
323.3,108014.88625718279,17.444464674566603,51.69656209833214,882996.8129888835,8919.159727160431,0.0
323.40000000000003,108014.68760426475,17.30895182619558,51.295077038797885,882997.5412832012,8919.16708366869,0.0
323.5,108014.49049448743,17.17449172280062,50.89670930988334,882998.2639214346,8919.174383044787,0.0
323.6,108014.29491586119,17.041076183737005,50.50143471304048,882998.9809475092,8919.181625732408,0.0
323.70000000000005,108014.10085648968,16.908697091989854,50.109229237604545,882999.6924050085,8919.188812171795,0.0
323.8,108013.90830456979,16.77734639417389,49.720069060793314,883000.3983371751,8919.19594279974,0.0
323.90000000000003,108013.71724839057,16.64701609979373,49.33393054550896,883001.098786914,8919.20301804963,0.0
324.0,108013.52767633008,16.517698279166833,48.95079023392732,883001.7937968048,8919.210038351555,0.0
324.1,108013.33957686515,16.389385070084412,48.57062486721208,883002.483409065,8919.217004131962,0.0
324.20000000000005,108013.15293856064,16.262068670390025,48.19341136388636,883003.1676655905,8919.223915814038,0.0
324.3,108012.96775006763,16.135741336781322,47.819126816305655,883003.846607961,8919.23077381778,0.0
324.40000000000003,108012.78400012353,16.010395384809858,47.447748490657204,883004.5202774405,8919.237578559998,0.0
324.5,108012.60167755194,15.886023188881582,47.07925382696151,883005.1887149775,8919.24433045431,0.0
324.6,108012.42077126274,15.762617182256266,46.71362043907062,883005.8519612043,8919.251029911147,0.0
324.70000000000005,108012.24127025207,15.640169857048004,46.3508261146696,883006.510056438,8919.25767733775,0.0
324.8,108012.06316360235,15.518673764225003,45.99084881527592,883007.1630406795,8919.26427313817,0.0
324.90000000000003,108011.88644048119,15.398121512925043,45.633666674205635,883007.8109536179,8919.270817713304,0.0
325.0,108011.71109013857,15.278505768529335,45.27925799064662,883008.4538346408,8919.27731146101,0.0
325.1,108011.53710191585,15.159819258825125,44.927601247900014,883009.0917228012,8919.283754775763,0.0
325.20000000000005,108011.36446523573,15.042054767145073,44.57867509336071,883009.7246568543,8919.290148049025,0.0
325.3,108011.1931696008,14.925205131258993,44.2324583352534,883010.352675263,8919.296491669314,0.0
325.40000000000003,108011.02320459334,14.809263243373662,43.888929942632025,883010.975816198,8919.302786022194,0.0
325.5,108010.85455987549,14.694222050133275,43.548069045381155,883011.5941175383,8919.309031490278,0.0
325.6,108010.68722518913,14.580074552618923,43.20985493421436,883012.2076168704,8919.315228453228,0.0
325.70000000000005,108010.52119035594,14.466813806349053,42.87426706067568,883012.8163514888,8919.321377287759,0.0
325.8,108010.35644527739,14.354432921279269,42.541285037138906,883013.4203583961,8919.32747836763,0.0
325.90000000000003,108010.19297993378,14.242925061168885,42.21088863492604,883014.019674306,8919.333532063689,0.0
326.0,108010.0307843816,14.132283441795085,41.88305777882765,883014.6143356534,8919.339538743967,0.0
326.1,108009.86984876181,14.02250133665437,41.55777256398112,883015.2043785638,8919.345498773364,0.0
326.20000000000005,108009.71016329069,13.913572070620111,41.235013237341406,883015.7898388869,8919.351412514001,0.0
326.3,108009.55171825834,13.80548901891749,40.91476019466065,883016.3707522025,8919.357280325268,0.0
326.40000000000003,108009.39450402865,13.698245607123317,40.59699398048763,883016.9471538195,8919.363102563826,0.0
326.5,108009.23851103928,13.591835311166463,40.28169528816905,883017.5190787774,8919.368879583602,0.0
326.6,108009.08372980173,13.486251657327367,39.96884495984807,883018.0865618449,8919.374611735799,0.0
326.70000000000005,108008.93015090127,13.381488222238461,39.65842398646561,883018.6496375208,8919.380299368888,0.0
326.8,108008.777764997,13.277538632883992,39.35041350775974,883019.2083400333,8919.385942828612,0.0
326.90000000000003,108008.62656282092,13.174396566013872,39.04479481052486,883019.7627033441,8919.391542458014,0.0
327.0,108008.4765351755,13.0720557464882,38.74154932354536,883020.3127611565,8919.397098597532,0.0
327.1,108008.32767294135,12.970509952552007,38.44065863321222,883020.8585468878,8919.402611584717,0.0
327.20000000000005,108008.17996706875,12.86975300997159,38.14210446637384,883021.4000936999,8919.408081754536,0.0
327.3,108008.03340857626,12.769778791086415,37.8458686875411,883021.9374345052,8919.413509439439,0.0
327.40000000000003,108007.88798855069,12.67058121480893,37.55193329888694,883022.4706019659,8919.418894969345,0.0
327.5,108007.7436981471,12.572154246624981,37.260280440247456,883022.9996284939,8919.424238671649,0.0
327.6,108007.60052858882,12.474491898593348,36.97089238912063,883023.5245462519,8919.429540871222,0.0
327.70000000000005,108007.45847116747,12.377588229346145,36.683751560667446,883024.0453871517,8919.434801890413,0.0
327.8,108007.31751724289,12.281437344088642,36.39884050771143,883024.5621828559,8919.44002204904,0.0
327.90000000000003,108007.1776582424,12.186033394056913,36.116141919127955,883025.0749647797,8919.445201664432,0.0
328.0,108007.03888565848,12.091370574983463,35.835638615160036,883025.5837640995,8919.450341051503,0.0
328.1,108006.90119105589,11.997443131977116,35.55731356186711,883026.0886117273,8919.455440522492,0.0
328.20000000000005,108006.76456606388,11.904245354101805,35.28114985525393,883026.5895383392,8919.460500387257,0.0
328.3,108006.62900237477,11.81177157349963,35.00713071868436,883027.0865743794,8919.46552095332,0.0
328.40000000000003,108006.49449174409,11.720016165390701,34.73523950288093,883027.5797500614,8919.470502525865,0.0
328.5,108006.36102599044,11.628973548073509,34.465459685925936,883028.0690953674,8919.475445407745,0.0
328.6,108006.22859699561,11.538638182924508,34.197774873260194,883028.5546400484,8919.48034989947,0.0
